"year" "acousticness" "duration" "energy" "explicit" "key" "liveness" "loudness" "mode" "tempo" "pop.class"
"1" 1998 0.147 148520 0.74 0 "Db" 0.0452 -8.165 0 157.068 "C"
"2" 1992 0.193 189800 0.389 0 "C" 0.154 -11.642 0 85.27 "C"
"3" 1973 0.388 289267 0.856 0 "A" 0.139 -8.403 0 101.28 "C"
"4" 1969 0.733 170267 0.454 0 "F" 0.0889 -8.118 0 82.378 "C"
"5" 2008 0.979 438907 0.494 0 "G" 0.123 -10.654 0 156.278 "C"
"6" 2015 0.0742 219333 0.766 0 "G" 0.0827 -5.974 0 110.034 "A"
"7" 1935 0.99 187742 0.42 0 "Ab" 0.13 -10.968 0 112.246 "D"
"8" 1928 0.995 97627 0.211 1 "D" 0.106 -16.423 1 79.812 "D"
"9" 2013 0.000506 209427 0.53 1 "Gb" 0.0477 -10.319 1 139.948 "B"
"10" 1945 0.98 159227 0.106 1 "Gb" 0.237 -17.27 1 76.959 "D"
"11" 1999 0.00146 244160 0.776 0 "Gb" 0.157 -9.778 0 113.532 "B"
"12" 1956 0.927 169333 0.0961 1 "Ab" 0.0885 -17.655 1 57.065 "D"
"13" 1970 0.0238 377560 0.894 1 "Bb" 0.125 -6.965 1 114.246 "C"
"14" 1983 0.0647 144467 0.493 0 "E" 0.162 -15.859 0 122.506 "C"
"15" 2006 0.927 151533 0.217 0 "G" 0.352 -13.853 0 136.991 "B"
"16" 1954 0.83 195200 0.181 1 "Bb" 0.108 -11.94 1 168.221 "D"
"17" 1950 0.986 107439 0.345 0 "D" 0.121 -17.499 0 98.271 "D"
"18" 1949 0.923 168733 0.13 1 "D" 0.298 -12.812 1 123.782 "C"
"19" 1997 0.00945 241293 0.77 0 "Db" 0.254 -8.094 0 128.817 "C"
"20" 1960 0.946 182960 0.164 1 "D" 0.265 -15.238 1 85.464 "D"
"21" 1945 0.973 197780 0.305 0 "F" 0.475 -10.302 0 64.274 "D"
"22" 1957 0.889 293640 0.279 0 "F" 0.137 -11.887 0 120.455 "C"
"23" 1963 0.816 148493 0.262 0 "G" 0.0994 -13.623 0 93.777 "D"
"24" 1988 0.99 490027 0.0186 0 "B" 0.0735 -28.795 0 88.123 "C"
"25" 1987 0.0124 219067 0.579 0 "G" 0.169 -12.347 0 99.358 "C"
"26" 1990 0.0926 307760 0.67 0 "G" 0.347 -12.737 0 99.714 "C"
"27" 2018 0.0537 219520 0.793 0 "Bb" 0.16 -4.126 0 103.97 "A"
"28" 1949 0.938 190773 0.264 0 "Ab" 0.132 -12.58 0 79.136 "D"
"29" 1995 0.106 185227 0.799 0 "C" 0.332 -11.993 0 175.921 "B"
"30" 1978 0.389 252333 0.605 1 "E" 0.115 -12.694 1 175.874 "C"
"31" 2002 0.314 173947 0.661 0 "G" 0.192 -10.171 0 116.485 "C"
"32" 1976 0.834 171040 0.115 0 "G" 0.115 -12.624 0 77.868 "D"
"33" 1994 0.0843 392573 0.537 1 "A" 0.116 -10.195 1 171.528 "C"
"34" 1977 0.763 152921 0.24 0 "Eb" 0.0851 -15.066 0 122.182 "C"
"35" 2011 0.411 140747 0.574 0 "E" 0.262 -6.938 0 149.762 "A"
"36" 1939 0.969 154587 0.434 1 "C" 0.306 -5.961 1 130.577 "D"
"37" 2010 0.00232 294360 0.848 1 "A" 0.543 -13.287 1 144.993 "B"
"38" 1975 0.895 320573 0.0856 0 "E" 0.0876 -19.231 0 90.137 "C"
"39" 1986 0.234 301973 0.653 0 "C" 0.283 -14.798 0 97.155 "B"
"40" 1983 0.0718 220173 0.797 0 "G" 0.0785 -8.502 0 177.188 "B"
"41" 1950 0.982 194987 0.299 0 "A" 0.12 -10.451 0 116.707 "D"
"42" 2009 0.35 314500 0.157 0 "G" 0.153 -18.2 0 118.511 "B"
"43" 1994 0.0294 260800 0.793 1 "E" 0.173 -6.638 1 91.925 "B"
"44" 1962 0.843 183360 0.285 0 "C" 0.132 -12.474 0 91.457 "C"
"45" 1999 0.303 297600 0.747 0 "D" 0.0985 -5.993 0 139.96 "B"
"46" 1987 0.762 352933 0.298 0 "F" 0.0636 -11.201 0 98.965 "C"
"47" 1940 0.995 190907 0.196 0 "A" 0.13 -14.162 0 93.977 "D"
"48" 1979 0.0274 239333 0.831 0 "D" 0.22 -5.439 0 131.104 "C"
"49" 1967 0.97 132800 0.132 0 "C" 0.0657 -16.676 0 84.547 "C"
"50" 1937 0.637 231657 0.394 1 "E" 0.233 -9.064 1 96.53 "D"
"51" 1968 0.0292 274627 0.535 0 "Bb" 0.169 -11.676 0 182.756 "C"
"52" 1929 0.995 167600 0.0775 1 "A" 0.123 -18.683 1 117.047 "D"
"53" 1976 0.519 209323 0.542 0 "D" 0.12 -12.625 0 102.682 "C"
"54" 1988 0.000137 194680 0.992 0 "C" 0.154 -3.843 0 104.269 "C"
"55" 2004 0.0016 192093 0.955 0 "G" 0.444 -3.379 0 92.48 "B"
"56" 2019 0.049 248472 0.602 0 "Gb" 0.279 -7.083 0 119.703 "A"
"57" 1984 0.621 206147 0.383 0 "C" 0.137 -13.373 0 175.183 "C"
"58" 2007 0.727 254347 0.57 0 "C" 0.0784 -6.564 0 111.927 "B"
"59" 1958 0.685 300640 0.144 1 "C" 0.197 -15.676 1 67.224 "D"
"60" 1924 0.989 132787 0.158 1 "Gb" 0.109 -20.976 1 168.596 "D"
"61" 2003 0.064 265800 0.625 0 "G" 0.223 -4.95 0 120.853 "B"
"62" 1999 0.000186 229067 0.993 1 "A" 0.302 -5.474 1 148.725 "B"
"63" 2003 0.996 141787 0.00743 0 "B" 0.105 -37.501 0 66.46 "B"
"64" 1990 0.00562 266307 0.944 0 "E" 0.366 -6.368 0 130.31 "C"
"65" 1998 0.00285 395560 0.761 0 "A" 0.0945 -8.619 0 175.817 "C"
"66" 1974 0.882 142832 0.0774 0 "Ab" 0.117 -15.995 0 112.487 "C"
"67" 1999 0.338 271493 0.439 0 "F" 0.18 -7.058 0 92.054 "B"
"68" 1956 0.511 153867 0.316 0 "C" 0.213 -10.52 0 116.139 "C"
"69" 1980 0.0215 214093 0.731 0 "A" 0.0954 -7.851 0 144.588 "C"
"70" 1997 0.135 188067 0.314 0 "G" 0.0987 -12.021 0 135.421 "C"
"71" 2014 0.574 237093 0.781 0 "E" 0.323 -3.079 0 125.9 "A"
"72" 1985 0.00715 142000 0.754 0 "C" 0.0568 -9.961 0 127.888 "C"
"73" 2011 0.0294 181387 0.861 0 "F" 0.114 -2.909 0 154.122 "B"
"74" 1996 0.0623 136147 0.681 0 "A" 0.137 -5.653 0 75.034 "A"
"75" 1974 0.826 278396 0.34 1 "G" 0.269 -15.663 1 98.894 "C"
"76" 1994 0.238 297493 0.566 0 "D" 0.122 -12.274 0 167.907 "B"
"77" 1994 5.26e-05 126027 0.913 0 "G" 0.173 -8.104 0 93.476 "C"
"78" 1946 0.991 187617 0.191 0 "C" 0.348 -11.61 0 97.452 "D"
"79" 1956 0.853 202853 0.74 0 "F" 0.441 -6.154 0 108.997 "D"
"80" 1970 0.732 164593 0.339 0 "D" 0.346 -18.561 0 124.293 "C"
"81" 1982 0.971 76273 0.032 0 "Bb" 0.092 -25.001 0 110.771 "B"
"82" 1953 0.974 162666 0.368 1 "B" 0.107 -15.439 1 100.64 "D"
"83" 1997 0.0496 277827 0.815 1 "Bb" 0.128 -2.008 1 89.8 "B"
"84" 2018 0.115 223907 0.718 0 "D" 0.402 -6.372 0 123.994 "B"
"85" 1965 0.0559 300747 0.589 0 "D" 0.123 -9.675 0 130.892 "C"
"86" 2019 0.0923 229773 0.862 1 "B" 0.192 -4.757 1 119.991 "A"
"87" 2008 0.000192 193973 0.844 1 "E" 0.195 -6.005 1 140.082 "B"
"88" 1955 0.902 140613 0.511 0 "A" 0.334 -14.219 0 136.654 "D"
"89" 2020 0.0494 114500 0.501 0 "D" 0.436 -6.774 0 120.038 "A"
"90" 1950 0.726 100400 0.334 0 "Eb" 0.144 -16.208 0 82.868 "D"
"91" 1958 0.798 146853 0.549 1 "C" 0.269 -8.457 1 184.152 "D"
"92" 2018 0.0563 197880 0.696 0 "B" 0.226 -5.994 0 139.98 "A"
"93" 1990 0.0394 292667 0.651 1 "Bb" 0.303 -11.562 1 102.373 "C"
"94" 1973 0.63 151413 0.322 1 "Db" 0.0582 -10.987 1 113.35 "B"
"95" 1982 0.0541 218067 0.741 0 "D" 0.17 -9.645 0 150.127 "C"
"96" 1942 0.721 247876 0.29 1 "C" 0.177 -15.2 1 139.669 "D"
"97" 2018 0.172 205440 0.409 1 "A" 0.11 -6.581 1 171.838 "A"
"98" 1996 0.000107 261693 0.9 0 "Ab" 0.11 -7.146 0 116.023 "B"
"99" 2016 0.00634 203453 0.709 1 "Db" 0.0967 -5.132 1 99.966 "B"
"100" 2005 0.0191 225333 0.82 1 "Bb" 0.0927 -7.124 1 156.412 "B"
"101" 1994 0.777 182207 0.256 0 "Gb" 0.105 -10.068 0 89.585 "B"
"102" 2017 0.45 207365 0.608 0 "Bb" 0.0897 -5.746 0 148.081 "A"
"103" 2016 0.745 194347 0.386 1 "G" 0.122 -7.843 1 119.91 "A"
"104" 1999 0.367 199200 0.575 0 "A" 0.236 -7.323 0 134.165 "B"
"105" 1970 0.398 224187 0.608 1 "C" 0.195 -9.643 1 83.356 "B"
"106" 1979 0.753 237440 0.377 0 "A" 0.107 -12.099 0 93.437 "D"
"107" 2020 0.0941 392253 0.637 0 "Db" 0.092 -6.408 0 96.015 "B"
"108" 2012 0.00247 214665 0.785 1 "G" 0.0669 -3.503 1 130.027 "B"
"109" 2008 0.299 211347 0.88 0 "Bb" 0.0499 -3.443 0 119.028 "B"
"110" 1990 0.265 171485 0.818 0 "F" 0.0998 -7.726 0 123.015 "C"
"111" 1996 0.00597 417200 0.509 1 "Db" 0.108 -8.057 1 127.013 "B"
"112" 1984 0.0626 168667 0.72 0 "D" 0.0744 -11.97 0 103.507 "C"
"113" 1981 0.0688 187115 0.798 1 "B" 0.598 -8.085 1 97.771 "C"
"114" 1955 0.964 175600 0.392 0 "Ab" 0.243 -12.023 0 105.88 "D"
"115" 1982 0.482 323400 0.32 1 "B" 0.111 -15.761 1 131.131 "C"
"116" 1981 0.206 244240 0.654 0 "A" 0.0641 -12.652 0 134.055 "C"
"117" 2001 0.0799 267227 0.782 0 "Gb" 0.0985 -5.968 0 141.942 "A"
"118" 1970 0.0836 238627 0.512 1 "A" 0.103 -7.6 1 89.296 "B"
"119" 1965 0.842 277600 0.0767 0 "E" 0.108 -16.251 0 120.823 "C"
"120" 2009 0.00109 308667 0.896 0 "Gb" 0.197 -5.299 0 177.727 "B"
"121" 1996 0.231 253667 0.297 0 "Gb" 0.115 -9.903 0 130.182 "B"
"122" 1984 0.0315 264133 0.848 0 "G" 0.193 -4.519 0 118.221 "C"
"123" 1979 0.166 298667 0.5 1 "E" 0.0708 -8.194 1 134.211 "B"
"124" 1941 0.992 36667 0.262 0 "D" 0.112 -21.228 0 125.377 "D"
"125" 1942 0.421 219768 0.412 0 "D" 0.0659 -13.378 0 135.559 "D"
"126" 1981 0.0279 115800 0.738 1 "Db" 0.0697 -13.983 1 112.325 "C"
"127" 2018 0.00254 129196 0.741 0 "Bb" 0.151 -5.043 0 140.024 "A"
